function,nc,tt,ct
"('<frozen importlib._bootstrap>', 1017, '_handle_fromlist')",2,9.7e-06,1.23e-05
"('_collections_abc.py', 664, '__contains__')",8,5.500000000000001e-06,1.0300000000000001e-05
"('functools.py', 404, '__get__')",2,1.72e-05,1.93e-05
"('__init__.py', 47, 'create_string_buffer')",2,0.000114,0.00011640000000000001
"('_weakrefset.py', 16, '__init__')",4,5.9e-06,5.9e-06
"('_weakrefset.py', 20, '__enter__')",4,1.02e-05,1.3100000000000002e-05
"('_weakrefset.py', 26, '__exit__')",4,1.15e-05,1.6400000000000002e-05
"('_weakrefset.py', 52, '_commit_removals')",4,3.4e-06,3.4e-06
"('_weakrefset.py', 58, '__iter__')",6,2.05e-05,5.5900000000000004e-05
"('_weakrefset.py', 81, 'add')",2,1.0700000000000001e-05,1.98e-05
"('_weakrefset.py', 106, 'remove')",2,8.200000000000001e-06,2.7400000000000002e-05
"('threading.py', 513, 'is_set')",2,1.5e-06,1.5e-06
"('_compile.py', 9, 'is_compiling')",336,0.0004893,0.0004893
"('_tensor.py', 429, 'backward')",3,5.17e-05,36.0103019
"('_tensor.py', 906, '__iter__')",4,1.72e-05,0.0001084
"('_tensor.py', 928, '__hash__')",246,5.53e-05,8.65e-05
"('__init__.py', 78, '_is_compiled')",3,5e-06,8.200000000000001e-06
"('__init__.py', 82, 'is_available')",3,1.11e-05,2.39e-05
"('functional.py', 45, 'broadcast_tensors')",8,0.0001082,0.00024260000000000002
"('__init__.py', 31, '__get__')",24,3.0600000000000005e-05,6.21e-05
"('module.py', 1188, '_call_impl')",432,0.4431587,24.512378100000003
"('module.py', 1256, '__getattr__')",580,0.0019168000000000002,0.0019168000000000002
"('linear.py', 113, 'forward')",152,0.0016125,4.1376919
"('functional.py', 1446, 'relu')",24,0.0001528,0.4271162
"('functional.py', 1618, 'leaky_relu')",64,0.0004556,4.2624133
"('functional.py', 2500, 'layer_norm')",24,0.0003173,1.3520009000000002
"('functional.py', 3264, 'mse_loss')",8,0.0001132,0.009665100000000001
"('_VF.py', 26, '__getattr__')",8,1.72e-05,2.75e-05
"('_reduction.py', 7, 'get_enum')",8,1.04e-05,1.04e-05
"('_jit_internal.py', 1082, 'is_scripting')",483,0.00016230000000000001,0.00016230000000000001
"('activation.py', 101, 'forward')",24,0.00015110000000000001,0.4272673
"('~', 0, '<built-in method torch._C._get_tracing_state>')",436,0.0034877000000000003,0.0034877000000000003
"('~', 0, '<built-in method torch._C._is_tracing>')",96,0.00047060000000000005,0.00047060000000000005
"('~', 0, '<built-in method torch._C._get_cudnn_enabled>')",24,3.15e-05,3.15e-05
"('~', 0, '<built-in method torch._C._has_torch_function>')",8,4.9000000000000005e-06,4.9000000000000005e-06
"('~', 0, '<built-in method torch._C._has_torch_function_unary>')",91,0.0001376,0.0001376
"('~', 0, '<built-in method torch._C._has_torch_function_variadic>')",32,4.36e-05,4.36e-05
"('~', 0, '<built-in method torch._C._set_grad_enabled>')",6,2.5e-06,2.5e-06
"('~', 0, '<built-in method torch.is_grad_enabled>')",9,4.800000000000001e-06,4.800000000000001e-06
"('~', 0, '<built-in method torch._C._cuda_getDeviceCount>')",3,4.6e-06,4.6e-06
"('~', 0, ""<method 'dim' of 'torch._C._TensorBase' objects>"")",428,0.0002681,0.0002681
"('~', 0, ""<method 'item' of 'torch._C._TensorBase' objects>"")",254,0.00045260000000000005,0.00045260000000000005
"('~', 0, ""<method 'numel' of 'torch._C._TensorBase' objects>"")",19,3.0500000000000003e-05,3.0500000000000003e-05
"('~', 0, ""<method 'requires_grad_' of 'torch._C._TensorBase' objects>"")",246,6.25e-05,6.25e-05
"('~', 0, ""<method 'size' of 'torch._C._TensorBase' objects>"")",300,0.0007277000000000001,0.0007277000000000001
"('~', 0, ""<method 'to' of 'torch._C._TensorBase' objects>"")",120,0.0016401,0.0016401
"('~', 0, ""<method 'add_' of 'torch._C._TensorBase' objects>"")",492,0.0030293000000000004,0.0030293000000000004
"('~', 0, ""<method 'addcdiv_' of 'torch._C._TensorBase' objects>"")",246,0.0015207,0.0015207
"('~', 0, ""<method 'addcmul_' of 'torch._C._TensorBase' objects>"")",246,0.0012979,0.0012979
"('~', 0, ""<method 'clamp' of 'torch._C._TensorBase' objects>"")",8,0.00030010000000000003,0.00030010000000000003
"('~', 0, ""<method 'expand_as' of 'torch._C._TensorBase' objects>"")",72,0.0010582,0.0010582
"('~', 0, ""<method 'index_select' of 'torch._C._TensorBase' objects>"")",48,0.7930823,0.7930823
"('~', 0, ""<method 'max' of 'torch._C._TensorBase' objects>"")",16,0.004491500000000001,0.004491500000000001
"('~', 0, ""<method 'mul_' of 'torch._C._TensorBase' objects>"")",738,0.0061345,0.0061345
"('~', 0, ""<method 'new_ones' of 'torch._C._TensorBase' objects>"")",8,0.0042072,0.0042072
"('~', 0, ""<method 'new_zeros' of 'torch._C._TensorBase' objects>"")",72,0.6402789000000001,0.6402789000000001
"('~', 0, ""<method 'scatter_add_' of 'torch._C._TensorBase' objects>"")",64,4.1678253000000005,4.1678253000000005
